_id_x,Crate,Dispatch,Content,ContentWeight,ContentCategory,NetWeight,GrossWeight,_id_y,VesselType,ManufacturingPlant,TareWeight,Status,createdAt,updatedAt
67765f9256bf9b28a8bd586e,61025,2025-01-02T06:33:18.569Z,GMP,1.036,6697ce0768f46fd1cab97f58,3.102,6.75,6700eaa7db309e2c6e37a9ce,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.85,1,2024-10-05T07:28:39.151Z,2025-01-09T10:14:21.167Z
67765f9256bf9b28a8bd586e,61025,2025-01-02T06:33:18.569Z,GMP,1.036,6697ce0768f46fd1cab97f58,3.102,6.75,6700eaa7db309e2c6e37a9ce,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.85,1,2024-10-05T07:28:39.151Z,2025-01-09T10:14:21.167Z
67765fb356bf9b28a8bd587e,64623,2025-01-02T06:33:18.569Z,KMT,1.036,6697ce0768f46fd1cab97f58,2.594,5.9,676a59f94d10b47b2a0b9479,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.832,1,2024-12-24T06:51:37.551Z,2025-01-21T10:31:09.335Z
67765fb356bf9b28a8bd587e,64623,2025-01-02T06:33:18.569Z,STS,1.558,6697ce0768f46fd1cab97f58,2.594,5.9,676a59f94d10b47b2a0b9479,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.832,1,2024-12-24T06:51:37.551Z,2025-01-21T10:31:09.335Z
67765fba56bf9b28a8bd5887,64033,2025-01-02T06:33:18.569Z,CGMP,1.032,6697ce0768f46fd1cab97f58,3.124,6.75,676a59e64d10b47b2a0b922b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.9,1,2024-12-24T06:51:18.724Z,2025-01-07T09:58:28.843Z
67765fba56bf9b28a8bd5887,64033,2025-01-02T06:33:18.569Z,MB,1.058,6697ce0768f46fd1cab97f58,3.124,6.75,676a59e64d10b47b2a0b922b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.9,1,2024-12-24T06:51:18.724Z,2025-01-07T09:58:28.843Z
67765fba56bf9b28a8bd5887,64033,2025-01-02T06:33:18.569Z,MB,1.034,6697ce0768f46fd1cab97f58,3.124,6.75,676a59e64d10b47b2a0b922b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.9,1,2024-12-24T06:51:18.724Z,2025-01-07T09:58:28.843Z
67765ff656bf9b28a8bd58b2,60388,2025-01-02T06:33:18.569Z,PT,1.03,6697ce0768f46fd1cab97f58,9.302,12.2,66ee611fb301138b47f8e12b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.55,1,2024-09-21T06:01:03.062Z,2025-01-07T11:19:20.150Z
67765ff656bf9b28a8bd58b2,60388,2025-01-02T06:33:18.569Z,SPK,1.03,6697ce0768f46fd1cab97f58,9.302,12.2,66ee611fb301138b47f8e12b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.55,1,2024-09-21T06:01:03.062Z,2025-01-07T11:19:20.150Z
67765ff656bf9b28a8bd58b2,60388,2025-01-02T06:33:18.569Z,SPK,1.022,6697ce0768f46fd1cab97f58,9.302,12.2,66ee611fb301138b47f8e12b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.55,1,2024-09-21T06:01:03.062Z,2025-01-07T11:19:20.150Z
67765ff656bf9b28a8bd58b2,60388,2025-01-02T06:33:18.569Z,NPK,1.032,6697ce0768f46fd1cab97f58,9.302,12.2,66ee611fb301138b47f8e12b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.55,1,2024-09-21T06:01:03.062Z,2025-01-07T11:19:20.150Z
67765ff656bf9b28a8bd58b2,60388,2025-01-02T06:33:18.569Z,ML,1.032,6697ce0768f46fd1cab97f58,9.302,12.2,66ee611fb301138b47f8e12b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.55,1,2024-09-21T06:01:03.062Z,2025-01-07T11:19:20.150Z
