epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,539.59,0.57056,0.35982,1.18059,0.88529,1,0.98458,0.77876,0.89227,0.51557,1.69315,0.00197052,0.00197052,0.00197052
135,543.521,0.58604,0.36068,1.19555,0.93741,1,0.98794,0.75505,0.95633,0.44197,1.80203,0.00197031,0.00197031,0.00197031
136,547.475,0.57701,0.3604,1.18829,0.93871,1,0.98794,0.76968,0.87273,0.39909,1.81937,0.00197009,0.00197009,0.00197009
137,551.358,0.59178,0.36319,1.19046,0.89843,1,0.98441,0.69737,1.14417,0.53332,2.24669,0.00196987,0.00196987,0.00196987
138,555.293,0.59625,0.36615,1.21653,0.92675,0.9375,0.92635,0.71156,1.00756,0.44781,1.9333,0.00196966,0.00196966,0.00196966
139,559.298,0.58644,0.36633,1.18978,0.93792,1,0.98441,0.732,1.05057,0.4699,1.90503,0.00196944,0.00196944,0.00196944
140,563.323,0.55035,0.33489,1.16888,0.88616,1,0.96261,0.74097,1.00321,0.52521,1.80594,0.00196922,0.00196922,0.00196922
141,567.387,0.57314,0.35342,1.20149,0.93771,1,0.98794,0.75255,0.99159,0.43877,1.91134,0.001969,0.001969,0.001969
142,571.393,0.62556,0.35818,1.23192,0.88701,1,0.975,0.75032,1.02127,0.46559,1.79814,0.00196877,0.00196877,0.00196877
143,575.473,0.58185,0.36378,1.17225,0.93443,0.9375,0.9345,0.71715,0.96587,0.45032,1.77469,0.00196855,0.00196855,0.00196855
144,579.61,0.61668,0.37605,1.22545,0.88742,0.98598,0.98167,0.72153,1.02569,0.49615,1.98494,0.00196833,0.00196833,0.00196833
145,583.598,0.57081,0.34098,1.16837,0.93268,0.9375,0.95312,0.78092,0.81298,0.49678,1.64636,0.0019681,0.0019681,0.0019681
146,587.631,0.57851,0.36269,1.17185,0.93941,1,0.97324,0.80325,0.8526,0.41338,1.734,0.00196788,0.00196788,0.00196788
147,591.65,0.5889,0.35404,1.20187,0.88804,0.99188,0.97646,0.65734,0.98416,0.60523,1.87701,0.00196766,0.00196766,0.00196766
148,595.779,0.57169,0.36405,1.18118,0.9383,1,0.99147,0.73564,0.88451,0.48218,1.77,0.00196744,0.00196744,0.00196744
149,599.855,0.58435,0.35776,1.20286,0.93739,0.93584,0.89913,0.69452,0.92254,0.53188,1.8994,0.00196721,0.00196721,0.00196721
150,603.817,0.57873,0.35855,1.17808,0.93788,1,0.98794,0.81247,0.80146,0.47534,1.60413,0.00196699,0.00196699,0.00196699
151,607.799,0.59884,0.34662,1.19144,0.93744,1,0.98029,0.77516,0.89578,0.47604,1.75929,0.00196677,0.00196677,0.00196677
152,611.885,0.55479,0.35468,1.1742,0.93342,1,0.99147,0.81901,0.81021,0.44837,1.55419,0.00196655,0.00196655,0.00196655
153,615.845,0.60406,0.37269,1.20305,0.93568,1,0.98441,0.73104,1.0739,0.58846,1.93953,0.00196633,0.00196633,0.00196633
154,619.934,0.5743,0.35018,1.18295,0.93785,1,0.98794,0.76358,0.9952,0.58459,1.81335,0.00196611,0.00196611,0.00196611
155,623.922,0.57291,0.33534,1.1713,0.88103,0.92623,0.97194,0.68258,1.2857,0.75202,2.17371,0.00196588,0.00196588,0.00196588
156,627.864,0.57236,0.36283,1.1866,0.93812,1,0.98794,0.79262,0.93385,0.44666,1.85411,0.00196566,0.00196566,0.00196566
157,631.772,0.53836,0.33184,1.1653,0.90775,0.9375,0.98833,0.73747,1.02086,0.53478,1.82766,0.00196545,0.00196545,0.00196545
158,635.745,0.55563,0.33971,1.17705,0.75902,1,0.89925,0.56038,1.26728,0.75634,2.14179,0.00196523,0.00196523,0.00196523
159,639.774,0.55605,0.339,1.17589,0.93766,1,0.96206,0.65178,1.1266,0.50538,2.23134,0.00196501,0.00196501,0.00196501
160,643.764,0.57529,0.36177,1.20892,0.94091,0.99554,0.96559,0.70927,1.02687,0.52575,1.84551,0.00196479,0.00196479,0.00196479
161,647.773,0.55624,0.34682,1.1737,0.87893,0.9375,0.91954,0.67681,1.09619,0.53729,1.94325,0.00196458,0.00196458,0.00196458
162,651.756,0.51108,0.32112,1.14892,0.91029,1,0.98441,0.78057,0.87453,0.51354,1.83154,0.00196435,0.00196435,0.00196435
163,655.754,0.53664,0.33767,1.16629,0.94026,0.98439,0.99147,0.74731,1.03384,0.5005,2.06829,0.00196414,0.00196414,0.00196414
164,659.754,0.57401,0.34764,1.16991,0.93788,1,0.98794,0.7984,0.87631,0.42947,1.69383,0.00196392,0.00196392,0.00196392
165,663.761,0.55256,0.34403,1.16663,0.93748,1,0.97324,0.80119,0.81739,0.41243,1.63669,0.00196369,0.00196369,0.00196369
166,667.763,0.57101,0.3537,1.17556,0.88525,1,0.93,0.70906,0.94299,0.51304,1.55255,0.00196348,0.00196348,0.00196348
167,671.817,0.55796,0.35165,1.17831,0.88583,1,0.975,0.77112,0.93934,0.50806,1.80048,0.00196326,0.00196326,0.00196326
168,675.854,0.53935,0.33381,1.16627,0.9377,1,0.97324,0.72381,1.07774,0.6084,1.98148,0.00196303,0.00196303,0.00196303
169,679.905,0.54623,0.34781,1.15665,0.94113,0.99918,0.97676,0.65727,1.15199,0.54118,1.96812,0.00196281,0.00196281,0.00196281
170,683.901,0.55196,0.3447,1.18498,0.93777,1,0.98441,0.70611,1.18928,0.54697,2.08961,0.00196259,0.00196259,0.00196259
171,687.931,0.55838,0.34728,1.18443,0.93237,1,0.98794,0.76777,1.02772,0.45867,1.86949,0.00196237,0.00196237,0.00196237
172,692.02,0.56644,0.35957,1.18174,0.93761,1,0.97324,0.80096,0.82681,0.45414,1.45575,0.00196214,0.00196214,0.00196214
173,696.015,0.59896,0.36811,1.1978,0.93808,1,0.955,0.70228,1.08502,0.5169,1.93531,0.00196192,0.00196192,0.00196192
174,700.034,0.54052,0.3397,1.16342,0.87963,0.9375,0.9277,0.64897,1.17488,0.54048,2.13398,0.0019617,0.0019617,0.0019617
175,704.12,0.56624,0.35379,1.1897,0.89477,0.9375,0.95803,0.64413,1.22456,0.62928,2.25294,0.00196148,0.00196148,0.00196148
176,708.143,0.55302,0.34055,1.17436,0.88452,1,0.94958,0.73707,0.98969,0.51237,1.73008,0.00196125,0.00196125,0.00196125
177,712.224,0.60886,0.36133,1.19607,0.87768,0.9375,0.91861,0.73008,1.00652,0.49352,1.89928,0.00196103,0.00196103,0.00196103
178,716.202,0.57222,0.35293,1.17884,0.91323,0.9375,0.94504,0.74887,1.04621,0.50668,1.99625,0.00196081,0.00196081,0.00196081
179,720.132,0.56359,0.35113,1.16697,0.93982,0.97694,0.98794,0.76732,0.91474,0.52187,1.74715,0.00196059,0.00196059,0.00196059
180,724.134,0.56056,0.35803,1.17595,0.87794,0.9375,0.93888,0.73525,1.02021,0.59775,1.79949,0.00196037,0.00196037,0.00196037
181,728.107,0.55625,0.34231,1.16931,0.93871,1,0.98794,0.77655,0.93194,0.44686,1.75243,0.00196015,0.00196015,0.00196015
182,732.014,0.53358,0.33136,1.16078,0.93825,1,0.98794,0.78254,0.89,0.43463,1.62585,0.00195994,0.00195994,0.00195994
