epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,4876.67,0.49,0.3124,1.05916,0.99544,1,0.995,0.92748,0.40456,0.1931,0.90198,0.00173383,0.00173383,0.00173383
141,4911.31,0.48444,0.31257,1.06153,0.99602,0.99997,0.995,0.93111,0.40123,0.18737,0.89765,0.00173191,0.00173191,0.00173191
142,4946.17,0.49045,0.31231,1.06683,0.99546,1,0.995,0.9328,0.39711,0.1866,0.8965,0.00173,0.00173,0.00173
143,4980.81,0.49165,0.3134,1.06942,0.99602,0.9999,0.995,0.93076,0.4004,0.1919,0.89577,0.00172809,0.00172809,0.00172809
144,5015.49,0.49569,0.31685,1.06689,0.99566,1,0.995,0.93235,0.40135,0.18939,0.90083,0.00172617,0.00172617,0.00172617
145,5050.01,0.49232,0.31276,1.06354,0.99574,1,0.99496,0.9312,0.40056,0.19078,0.89948,0.00172426,0.00172426,0.00172426
146,5084.68,0.48959,0.31117,1.06458,0.99567,0.996,0.995,0.92715,0.40167,0.1969,0.90259,0.00172234,0.00172234,0.00172234
147,5119.61,0.49469,0.31587,1.07133,0.99601,0.99958,0.995,0.93145,0.39791,0.19702,0.89868,0.00172043,0.00172043,0.00172043
148,5154.43,0.49526,0.31259,1.0646,0.99557,0.996,0.99496,0.93529,0.39629,0.19805,0.89638,0.00171851,0.00171851,0.00171851
149,5189.09,0.48629,0.311,1.06459,0.99563,0.996,0.99496,0.93168,0.40146,0.19922,0.9003,0.0017166,0.0017166,0.0017166
150,5224.08,0.4849,0.30859,1.06356,0.99563,0.996,0.99496,0.93063,0.39481,0.19503,0.89384,0.00171468,0.00171468,0.00171468
151,5258.95,0.49571,0.31644,1.06823,0.9956,0.996,0.995,0.93009,0.39142,0.19238,0.89276,0.00171277,0.00171277,0.00171277
152,5293.92,0.48997,0.30863,1.0664,0.99599,0.996,0.995,0.93483,0.38751,0.18759,0.88918,0.00171085,0.00171085,0.00171085
153,5328.54,0.49426,0.31485,1.06657,0.99564,0.996,0.995,0.93524,0.38995,0.18931,0.89009,0.00170894,0.00170894,0.00170894
154,5363.16,0.48385,0.30829,1.05755,0.99563,0.996,0.99496,0.93536,0.39482,0.19309,0.89293,0.00170702,0.00170702,0.00170702
155,5397.9,0.48348,0.3115,1.05977,0.99556,0.996,0.99496,0.93662,0.39178,0.19419,0.89028,0.00170511,0.00170511,0.00170511
156,5432.86,0.4868,0.31142,1.06297,0.99541,0.996,0.99496,0.93718,0.39079,0.19186,0.88979,0.00170319,0.00170319,0.00170319
157,5467.31,0.47986,0.30544,1.0568,1,0.99544,0.995,0.93298,0.39268,0.19031,0.89134,0.00170128,0.00170128,0.00170128
158,5501.88,0.47781,0.29938,1.05426,0.99601,0.99973,0.995,0.93355,0.3949,0.18772,0.89276,0.00169936,0.00169936,0.00169936
159,5536.51,0.4796,0.30438,1.05909,0.99601,0.99956,0.995,0.93159,0.3964,0.18951,0.89498,0.00169745,0.00169745,0.00169745
160,5571.12,0.48909,0.30744,1.0661,0.9988,0.996,0.995,0.9296,0.39994,0.19376,0.89882,0.00169553,0.00169553,0.00169553
161,5605.76,0.48295,0.30609,1.0642,0.99592,0.996,0.995,0.93168,0.40233,0.19665,0.90272,0.00169362,0.00169362,0.00169362
162,5640.57,0.47756,0.30797,1.05951,0.99556,0.996,0.995,0.93253,0.39821,0.19475,0.89804,0.0016917,0.0016917,0.0016917
163,5675.16,0.4767,0.30237,1.06212,0.99553,0.996,0.99496,0.93264,0.40008,0.19486,0.89674,0.00168979,0.00168979,0.00168979
164,5709.93,0.47659,0.29939,1.05439,0.99552,0.996,0.995,0.93385,0.3982,0.19703,0.89371,0.00168787,0.00168787,0.00168787
165,5744.71,0.47665,0.302,1.05833,0.99596,0.996,0.995,0.93164,0.40095,0.19874,0.89787,0.00168596,0.00168596,0.00168596
166,5779.55,0.47462,0.30022,1.05666,0.99558,0.996,0.995,0.9325,0.40168,0.19745,0.8975,0.00168404,0.00168404,0.00168404
167,5814.17,0.47176,0.29698,1.05704,0.99576,0.996,0.995,0.93399,0.39798,0.1941,0.89498,0.00168213,0.00168213,0.00168213
168,5848.87,0.47682,0.30375,1.0597,0.99574,0.996,0.995,0.93447,0.39571,0.19209,0.89264,0.00168021,0.00168021,0.00168021
169,5883.51,0.48079,0.303,1.05692,0.99588,0.996,0.995,0.93435,0.39958,0.19309,0.89786,0.00167861,0.00167861,0.00167861
170,5918.08,0.47732,0.30345,1.05293,0.99554,0.996,0.99496,0.93288,0.40295,0.19544,0.9024,0.0016767,0.0016767,0.0016767
171,5952.8,0.47892,0.30227,1.06576,0.99552,0.996,0.99496,0.93158,0.40233,0.19756,0.90296,0.00167478,0.00167478,0.00167478
172,5987.72,0.48288,0.30266,1.05925,0.9955,0.996,0.99496,0.93559,0.3951,0.19336,0.89563,0.00167287,0.00167287,0.00167287
173,6022.55,0.4772,0.29966,1.05432,0.99556,0.996,0.99496,0.93552,0.39694,0.19386,0.89861,0.00167096,0.00167096,0.00167096
174,6057.33,0.47346,0.29693,1.05407,0.99558,0.996,0.99496,0.93244,0.39549,0.19492,0.89579,0.00166904,0.00166904,0.00166904
175,6091.98,0.46688,0.29774,1.04822,0.99559,0.996,0.99496,0.93218,0.39619,0.19405,0.89672,0.00166713,0.00166713,0.00166713
176,6126.99,0.47146,0.30104,1.05403,0.99555,0.996,0.99496,0.93231,0.39348,0.19415,0.89427,0.00166522,0.00166522,0.00166522
177,6161.88,0.4691,0.29826,1.05208,0.99563,0.996,0.995,0.93471,0.39245,0.19291,0.89245,0.0016633,0.0016633,0.0016633
178,6196.57,0.46318,0.29098,1.04515,0.99569,0.996,0.995,0.93763,0.39153,0.19451,0.89166,0.00166139,0.00166139,0.00166139
179,6231.35,0.46421,0.29601,1.04961,0.99572,0.996,0.995,0.93717,0.39422,0.1946,0.89313,0.00165948,0.00165948,0.00165948
180,6266.12,0.4706,0.2907,1.04597,0.99576,0.996,0.995,0.93535,0.3963,0.18853,0.89482,0.00165757,0.00165757,0.00165757
181,6301.05,0.46129,0.29117,1.04466,0.99553,0.996,0.995,0.93691,0.39467,0.18748,0.89378,0.00165565,0.00165565,0.00165565
182,6335.98,0.46772,0.29192,1.04933,0.99557,0.996,0.99496,0.93712,0.39654,0.19105,0.89586,0.00165374,0.00165374,0.00165374
183,6370.77,0.46045,0.29045,1.04623,0.9956,0.996,0.995,0.93723,0.39564,0.19034,0.89491,0.00165183,0.00165183,0.00165183
184,6405.43,0.46459,0.29042,1.04545,0.99561,0.996,0.995,0.93666,0.39468,0.19022,0.89481,0.00164991,0.00164991,0.00164991
